Header,Pin,Signal / function,Net,Original header pin(s)
J1,1,3V3 regulated output,+3.3V,"J1.1, J3.1, J7.1, J8.1, J8.2, J8.3, J8.4, J8.5"
J1,2,GND,GND,"J1.4, J3.4, J7.4, J8.10, J8.6, J8.7, J8.8, J8.9"
J1,3,PC13,PC13,J4.1
J1,4,PC14,PC14,J4.2
J1,5,PC15,PC15,J4.3
J1,6,NRST / reset,NRST,New reset breakout
J1,7,PA0,PA0,J5.1
J1,8,PA1,PA1,J5.2
J1,9,PA2,PA2,J5.3
J1,10,PA3,PA3,J5.4
J1,11,PA4,PA4,J5.5
J1,12,PA5 / SPI SCK,SPI1_SCK,J5.8
J1,13,PA6 / SPI MISO,SPI1_MISO,J5.9
J1,14,PA7 / SPI MOSI,SPI1_MOSI,J5.10
J1,15,PB0,PB0,J4.4
J1,16,PB1,PB1,J4.5
J1,17,PB2 / BOOT1 (10k pull-down),PB2,J4.6
J1,18,PB10,PB10,J4.10
J1,19,PB11,PB11,J9.1
J1,20,GND,GND,"J1.4, J3.4, J7.4, J8.10, J8.6, J8.7, J8.8, J8.9"
J3,1,3V3 regulated output,+3.3V,"J1.1, J3.1, J7.1, J8.1, J8.2, J8.3, J8.4, J8.5"
J3,2,GND,GND,"J1.4, J3.4, J7.4, J8.10, J8.6, J8.7, J8.8, J8.9"
J3,3,PB8 / CAN RX logic,CAN_RX,J7.2
J3,4,PB9 / CAN TX logic,CAN_TX,J7.3
J3,5,PB6 / I2C SCL,I2C1_SCL,J3.2
J3,6,PB7 / I2C SDA,I2C1_SDA,J3.3
J3,7,PB5,PB5,J4.9
J3,8,PB4,PB4,J4.8
J3,9,PB3,PB3,J4.7
J3,10,PA15,PA15,J5.7
J3,11,PA14 / SWCLK,SWCLK,J1.3
J3,12,PA13 / SWDIO,SWDIO,J1.2
J3,13,PA9 / UART TX,USART1_TX,J6.1
J3,14,PA10 / UART RX,USART1_RX,J6.2
J3,15,PA8,PA8,J5.6
J3,16,PB15,PB15,J9.5
J3,17,PB14,PB14,J9.4
J3,18,PB13,PB13,J9.3
J3,19,PB12,PB12,J9.2
J3,20,GND,GND,"J1.4, J3.4, J7.4, J8.10, J8.6, J8.7, J8.8, J8.9"
