Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",92.800000,-86.700000,180.000000,top
"C2","100n","C_0402_1005Metric",89.300000,-83.450000,90.000000,top
"C3","100n","C_0402_1005Metric",92.950000,-74.300000,0.000000,top
"C4","100n","C_0402_1005Metric",102.200000,-77.950000,-90.000000,top
"C5","10u","C_0603_1608Metric",96.000000,-70.400000,90.000000,top
"C6","100n","C_0402_1005Metric",97.300000,-86.500000,0.000000,top
"C7","1u","C_0402_1005Metric",99.600000,-86.500000,0.000000,top
"C8","1u","C_0402_1005Metric",97.600000,-74.300000,0.000000,top
"C9","100n","C_0402_1005Metric",93.300000,-88.300000,180.000000,top
"C10","10p","C_0402_1005Metric",95.000000,-86.500000,180.000000,top
"C11","10p","C_0402_1005Metric",100.300000,-89.500000,0.000000,top
"C12","4.7u","C_0805_2012Metric",105.500000,-77.000000,0.000000,top
"C13","22u tantalum","CP_EIA-3216-18_Kemet-A",98.500000,-70.300000,-90.000000,top
"D1","RED","LED_0603_1608Metric",104.500000,-80.500000,90.000000,top
"FB1","120R","L_0603_1608Metric",102.000000,-85.000000,0.000000,top
"R1","10k","R_0402_1005Metric",88.800000,-73.900000,0.000000,top
"R2","1k5","R_0402_1005Metric",92.500000,-72.800000,0.000000,top
"R3","1k5","R_0402_1005Metric",104.500000,-82.700000,0.000000,top
"R4","5k1","R_0402_1005Metric",90.500000,-69.300000,0.000000,top
"R5","5k1","R_0402_1005Metric",92.800000,-69.300000,0.000000,top
"R6","1k5","R_0402_1005Metric",88.800000,-70.900000,0.000000,top
"R7","1k5","R_0402_1005Metric",88.800000,-72.400000,0.000000,top
"R8","10k","R_0402_1005Metric",102.200000,-79.950000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12_EdgeSilk",104.000000,-62.800000,180.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",95.700000,-80.700000,90.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",103.500000,-70.900000,90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.000000,-89.400000,-90.000000,top
